filepath,label,class_name
train/cellconvection/63.jpg,0,cellconvection
train/cellconvection/20200601220618.jpg,0,cellconvection
train/cellconvection/20200602104520.jpg,0,cellconvection
train/cellconvection/20200603234014.jpg,0,cellconvection
train/cellconvection/20200609004652.jpg,0,cellconvection
train/cellconvection/77.jpg,0,cellconvection
train/cellconvection/20200603191438.jpg,0,cellconvection
train/cellconvection/20200529011851.jpg,0,cellconvection
train/cellconvection/20200601231729.jpg,0,cellconvection
train/cellconvection/prettyclouds_tmo_30sep05_lrg.jpg,0,cellconvection
train/cellconvection/20200609010828.jpg,0,cellconvection
train/cellconvection/162.jpg,0,cellconvection
train/cellconvection/176.jpg,0,cellconvection
train/cellconvection/88.jpg,0,cellconvection
train/cellconvection/20200609000622.jpg,0,cellconvection
train/cellconvection/20200603185115.jpg,0,cellconvection
train/cellconvection/20200603234202.jpg,0,cellconvection
train/cellconvection/20200602155237.jpg,0,cellconvection
train/cellconvection/20200609005955.jpg,0,cellconvection
train/cellconvection/20200601210526.jpg,0,cellconvection
train/cellconvection/20200602103918.jpg,0,cellconvection
train/cellconvection/20200520092538.jpg,0,cellconvection
train/cellconvection/Pacific.A2003242.1540.2km.jpg,0,cellconvection
train/cellconvection/20200603185707.jpg,0,cellconvection
train/cellconvection/20200603181207.jpg,0,cellconvection
train/cellconvection/20200603234410.jpg,0,cellconvection
train/cellconvection/20200518220654.jpg,0,cellconvection
train/cellconvection/ccc83.jpg,0,cellconvection
train/cellconvection/20200526142044.jpg,0,cellconvection
train/cellconvection/ccc54.jpg,0,cellconvection
train/cellconvection/228.jpg,0,cellconvection
train/cellconvection/20200609005835.jpg,0,cellconvection
train/cellconvection/20200603185908.jpg,0,cellconvection
train/cellconvection/ccc40.jpg,0,cellconvection
train/cellconvection/214.jpg,0,cellconvection
train/cellconvection/20200601212523.jpg,0,cellconvection
train/cellconvection/200.jpg,0,cellconvection
train/cellconvection/20200609002357.jpg,0,cellconvection
train/cellconvection/20200609004726.jpg,0,cellconvection
train/cellconvection/20200520103816.jpg,0,cellconvection
train/cellconvection/20200609002419.jpg,0,cellconvection
train/cellconvection/20200526143158.jpg,0,cellconvection
train/cellconvection/20200602125459.jpg,0,cellconvection
train/cellconvection/SouthSandwich_amo_2012118_lrg.jpg,0,cellconvection
train/cellconvection/S1999335170740.jpg,0,cellconvection
train/cellconvection/20200603233828.jpg,0,cellconvection
